user_id,keyword,canonical,search_hint,campus,learned_at
__seed__,中大,中山大学,"官方全称；英文 Sun Yat-sen University；简称「中大」；教育部直属；官网 www.sysu.edu.cn",全校,2026-04-11
__seed__,SYSU,中山大学,"英文缩写 SYSU；与 Sun Yat-sen University 对应；口语检索常用",全校,2026-04-11
__seed__,Sun Yat-sen University,中山大学,"标准英文校名；护照与对外材料常用拼写",全校,2026-04-11
__seed__,双鸭山大学,中山大学,"网络戏称，源自 Sun Yat-sen 谐音梗；正式场合应称中山大学",全校,2026-04-11
__seed__,鸭大,中山大学,"学生口语简称；非官方称谓；正式文书用中山大学",全校,2026-04-11
__seed__,国立广东大学,中山大学,"1924 年创校初名；孙中山先生创办；后更名国立中山大学",全校,2026-04-11
__seed__,国立中山大学,中山大学,"历史校名；1950 年去除「国立」后称中山大学",全校,2026-04-11
__seed__,中山医科大学,中山大学（由原中山大学与中山医科大学合并组建）,"2001年10月合并；医学与公共卫生等学科重要来源；正式文书用现校名",全校,2026-04-11
__seed__,博学审问慎思明辨笃行,博学 审问 慎思 明辨 笃行,"中山大学校训标准表述（词间空格）；孙中山先生题写；出自《礼记·中庸》",全校,2026-04-11
__seed__,校庆,11月12日,"中山大学校庆日；与孙中山先生诞辰纪念日相关（以学校公布为准）",全校,2026-04-11
__seed__,三校区五校园,中山大学办学格局,"官方表述：广州含南校园、北校园、东校园；珠海；深圳；共五个校园",全校,2026-04-11
__seed__,综合性研究型开放式,中山大学办学特质,"学校概况常用概括；与「文理医工农艺」发展格局并见于官方介绍",全校,2026-04-11
__seed__,双一流,中山大学,"国家「双一流」建设高校；具体建设学科以教育部公布名单为准",全校,2026-04-11
__seed__,985,中山大学,"「985工程」重点建设高校（历史建设项目表述）",全校,2026-04-11
__seed__,211,中山大学,"「211工程」重点建设高校（历史建设项目表述）",全校,2026-04-11
__seed__,康乐园,广州南校园,"南校园传统校区别名；常用于校史与校园文化语境；地址广州市海珠区新港西路135号",南校,2026-04-11
__seed__,南校,广州南校园,"口语简称；标准称谓：广州南校园；通讯地址 广州市海珠区新港西路135号 邮编510275",南校,2026-04-11
__seed__,新港西路135号,广州南校园,"广州南校园通讯地址；海珠区；官方校区介绍常用",南校,2026-04-11
__seed__,北校,广州北校园,"口语简称；标准称谓：广州北校园；医学相关院系集中；通讯地址 广州市越秀区中山二路74号 邮编510080",北校,2026-04-11
__seed__,中山二路74号,广州北校园,"广州北校园通讯地址；越秀区",北校,2026-04-11
__seed__,东校,广州东校园,"口语简称；标准称谓：广州东校园；大学城；通讯地址 广州市番禺区大学城外环东路132号 邮编510006",东校,2026-04-11
__seed__,大学城外环东路132号,广州东校园,"广州东校园通讯地址；番禺区·广州大学城",东校,2026-04-11
__seed__,珠海中大,珠海,"标准称谓：中山大学珠海；位于珠海市香洲区唐家湾；通讯地址常用 珠海市香洲区唐家湾 邮编519082",珠海,2026-04-11
__seed__,唐家湾,珠海,"珠海所在地；香洲区；官方校区介绍常用",珠海,2026-04-11
